#index median minimum maximum
293069 550485 541341 553160
293643 545590 531488.5 581881
294235 579449 537242 588823
294694 538626.5 516720 559330
295106 549775 527168 574906.5
295385 541673 529314 545642
295618 531363 520834 561432
295869 545522 529338.5 560072
296167 555384 511835 562097
296435 606613 591804 638166
296813 597114 569619 597588
297086 597980 587506 617705
297322 565756 530717 577339
297529 567975 557936 572766
297791 581300 566531 637478
298166 579507 549237 582764
298553 572680 565315.5 619886
298902 584098 547619.5 607017
299866 560951 556598 599016
300438 572424 542090 575185
300974 534283 519469 543299.5
301464 564637.5 548140 583163
301838 545596 524581 549614
302020 535054 525215 543046.5
302216 578965 538270 582634
302331 555523 541955 601277
302532 543669.5 535331 580751
302973 547787 532635 586780
303277 559500 534687 583775
303601 582362 556651 593444
303642 585026 555447.5 614040
303643 556186 549372 569493
303818 577216 565688 585881
304096 492101 489746 500148
304572 497795 492464 502086
304970 510269 506425 515649
305396 523758 512346 535914
305711 540005 515578 553726.5
305953 556874 526210 567059
306320 509536 496902 515948
306592 504196 495558 509244
306928 535259 524056 540519
307402 543316 524029 556946
307832 546818 527913 555861
308115 537102 521980 553447
308387 510313 507021 513468
308618 521187 517938 534731
308904 524327 512146 526794
309220 529942 505332.5 531839
309256 522935 519950 534286
309257 593569 583344 597217
309541 639978 637944 641939
309856 631515 617181 639137
310236 626841.5 622781 642004
310988 580797 575185 581464.5
