#index median minimum maximum
364729.forwarding.inet4 665310.75 561277 673073
364729.forwarding.inet6 710627.5 701536 718472
364729.ipf-stateful.inet4 285178 282967 289811.5
364729.ipf-stateful.inet6 298205 296952 299640
364729.ipf-stateless.inet4 335052 327153 336314
364729.ipf-stateless.inet6 332774 332064 334125.5
364729.ipfw-stateful.inet4 483438.5 478470 485744
364729.ipfw-stateful.inet6 471067 469839 471679.5
364729.ipfw-stateless.inet4 547074 508062 548141
364729.ipfw-stateless.inet6 560531 555004 564865
364729.pf-stateful.inet4 442463.5 429653 446956.5
364729.pf-stateful.inet6 396299 394867 396978
364729.pf-stateless.inet4 347536 339286 349536
364729.pf-stateless.inet6 331532 330833 333104
364730.forwarding.inet4 748684 704916 754911
364730.forwarding.inet6 718561 647326 722322
364730.ipf-stateful.inet4 287480 285578.5 289248
364730.ipf-stateful.inet6 306951 305224 309334
364730.ipf-stateless.inet4 347142 316779.5 348349
364730.ipf-stateless.inet6 345544 343096 346378
364730.ipfw-stateful.inet4 522145 519428 525114
364730.ipfw-stateful.inet6 458962.5 449274 467313
364730.ipfw-stateless.inet4 596114 588953 601836.5
364730.ipfw-stateless.inet6 576635 568450 583793
364730.pf-stateful.inet4 481054.25 477167 484405
364730.pf-stateful.inet6 400225 397944 401766.5
364730.pf-stateless.inet4 369518.5 364696 371624.5
364730.pf-stateless.inet6 334123 333782 336715
