#index median minimum maximum
293069.fastforwarding 550485 541341 553160
293069.ipfw-statefull 353833 350448.5 357932.5
293069.pf-statefull 284165 282489 286806
293643.fastforwarding 545590 531488.5 581881
293643.ipfw-statefull 331498 328797 334289
293643.pf-statefull 273881 271084 278610
294235.fastforwarding 579449 537242 588823
294235.ipfw-statefull 336909 329718 341002
294235.pf-statefull 279323 270595 303901
294694.fastforwarding 538626.5 516720 559330
294694.ipfw-statefull 333652 332002 339006
294694.pf-statefull 269729 266327 275289
295106.fastforwarding 549775 527168 574906.5
295106.ipfw-statefull 327670 325739 328287.5
295106.pf-statefull 286591 276427 295025
295385.fastforwarding 541673 529314 545642
295385.ipfw-statefull 361139.5 354198 372436
295385.pf-statefull 280896 271048 292361
295618.fastforwarding 531363 520834 561432
295618.ipfw-statefull 342949.5 331976.5 350541
295618.pf-statefull 279191 273777 290269
295869.fastforwarding 545522 529338.5 560072
295869.ipfw-statefull 343011 337514 347785
295869.pf-statefull 278791 276832.5 279784
296167.fastforwarding 555384 511835 562097
296167.ipfw-statefull 367259 364405 370506
296167.pf-statefull 275282 269379 281668
296435.fastforwarding 606613 591804 638166
296435.ipfw-statefull 346848 346090.5 347436
296435.pf-statefull 293577 287038 298578
296813.fastforwarding 597114 569619 597588
296813.ipfw-statefull 369809 366184 377716
296813.pf-statefull 301685 294344 304745
297086.fastforwarding 597980 587506 617705
297086.ipfw-statefull 354269 351899 357838.5
297086.pf-statefull 293350 287547 295494
297322.fastforwarding 565756 530717 577339
297322.ipfw-statefull 348918 343861 351297
297322.pf-statefull 285638 279877 290271
297529.fastforwarding 567975 557936 572766
297529.ipfw-statefull 364720 363730.5 365684
297529.pf-statefull 293421 289440 304525
297791.fastforwarding 581300 566531 637478
297791.ipfw-statefull 340326 339316 341165
297791.pf-statefull 290410 286509 293417
298166.fastforwarding 579507 549237 582764
298166.ipfw-statefull 335832.5 332448 338565
298166.pf-statefull 273319 270884 275108
298553.fastforwarding 572680 565315.5 619886
298553.ipfw-statefull 357359 355562 359451
298553.pf-statefull 302272 294527 303449
298902.fastforwarding 584098 547619.5 607017
298902.ipfw-statefull 330748 328080 334129
298902.pf-statefull 281346 280149 284612
299866.fastforwarding 560951 556598 599016
299866.ipfw-statefull 370884 366829 371073
299866.pf-statefull 292540 289683 295595
300438.fastforwarding 572424 542090 575185
300438.ipfw-statefull 356404 353360.5 357958.5
300438.pf-statefull 292846 282852 294450
300974.fastforwarding 534283 519469 543299.5
300974.ipfw-statefull 332453 329435 335299
300974.pf-statefull 292755 289948 297499
301464.fastforwarding 564637.5 548140 583163
301464.ipfw-statefull 338556 334363 340171
301464.pf-statefull 272279 271006 273090
301838.fastforwarding 545596 524581 549614
301838.ipfw-statefull 341534 338880 348887
301838.pf-statefull 274023.5 272981 274348
302020.fastforwarding 535054 525215 543046.5
302020.ipfw-statefull 330063 327607 338124
302020.pf-statefull 267097 266407.5 276849
302216.fastforwarding 578965 538270 582634
302216.ipfw-statefull 353404 352096 359765
302216.pf-statefull 289783 286713 291394
302331.fastforwarding 555523 541955 601277
302331.ipfw-statefull 336197 334245.5 341031
302331.pf-statefull 291084 289761.5 301016
302532.fastforwarding 543669.5 535331 580751
302532.ipfw-statefull 356232 354253 357313
302532.pf-statefull 296091 290582 302790
302973.fastforwarding 547787 532635 586780
302973.ipfw-statefull 371552.5 366550 373947
302973.pf-statefull 295953.5 293250 298076
303277.fastforwarding 559500 534687 583775
303277.ipfw-statefull 349191 348060 351945
303277.pf-statefull 301225 299410 302394
303601.fastforwarding 582362 556651 593444
303601.ipfw-statefull 358747 356117 364179
303601.pf-statefull 280232 280109 281578
303642.fastforwarding 585026 555447.5 614040
303642.ipfw-statefull 375160 372327 379567.5
303642.pf-statefull 289867 286176 290430
303643.fastforwarding 556186 549372 569493
303643.ipfw-statefull 351454 348595.5 351826
303643.pf-statefull 278470 276820.5 279391
303818.fastforwarding 577216 565688 585881
303818.ipfw-statefull 350131 349494 355434
303818.pf-statefull 279984 278956 288069
304096.fastforwarding 492101 489746 500148
304096.ipfw-statefull 327454 326460 329503
304096.pf-statefull 283423 280552 287279
304572.fastforwarding 497795 492464 502086
304572.ipfw-statefull 322675 318190 323934
304572.pf-statefull 279220 278146 283696
304970.fastforwarding 510269 506425 515649
304970.ipfw-statefull 309072 307483.5 311033
304970.pf-statefull 270322 265549 271402
305396.fastforwarding 523758 512346 535914
305396.ipfw-statefull 316503.5 314922 318083
305396.pf-statefull 266291 265134 267996
305711.fastforwarding 540005 515578 553726.5
305711.ipfw-statefull 361234 356682.5 363883
305711.pf-statefull 289926 287297 294471
305953.fastforwarding 556874 526210 567059
305953.ipfw-statefull 363896 360958 368855
305953.pf-statefull 288061 287087.5 295143.5
306320.fastforwarding 509536 496902 515948
306320.ipfw-statefull 347821 344811 351732
306320.pf-statefull 273432 272013 279063
306592.fastforwarding 504196 495558 509244
306592.ipfw-statefull 322555 322337 327639.5
306592.pf-statefull 277320 272897 279659
306928.fastforwarding 535259 524056 540519
306928.ipfw-statefull 336311 330273 337616
306928.pf-statefull 280830 279732 283496
307402.fastforwarding 543316 524029 556946
307402.ipfw-statefull 325353 323432 326298
307402.pf-statefull 287985 286988 290658
307832.fastforwarding 546818 527913 555861
307832.ipfw-statefull 357803 354234 359740
307832.pf-statefull 277081 276311 279390
308115.fastforwarding 537102 521980 553447
308115.ipfw-statefull 334084 333508.5 345133
308115.pf-statefull 296528 295072 298319
308387.fastforwarding 510313 507021 513468
308387.ipfw-statefull 358255 356477 363156
308387.pf-statefull 278136 277888 283631
308618.fastforwarding 521187 517938 534731
308618.ipfw-statefull 368454 366635 371870
308618.pf-statefull 289745 287264 291130
308904.fastforwarding 524327 512146 526794
308904.ipfw-statefull 357880 355536 358781
308904.pf-statefull 274589 273851 277197.5
309220.fastforwarding 529942 505332.5 531839
309220.ipfw-statefull 350675 348750 353725
309220.pf-statefull 291481.5 290307.5 292079
309256.fastforwarding 522935 519950 534286
309256.ipfw-statefull 339297 336890 341301
309256.pf-statefull 281402 278257 285118
309257.fastforwarding 593569 583344 597217
309257.ipfw-statefull 372799 369572 381288
309257.pf-statefull 289894 285686 294995
309541.fastforwarding 639978 637944 641939
309541.ipfw-statefull 368173 365880 368712.5
309541.pf-statefull 279504 279239 284960
309856.fastforwarding 631515 617181 639137
