#index median minimum maximum
forwarding.inet4 906714 903812 909900
forwarding.inet6 865728 859046 868149.5
ipfw-stateful.inet4 449754 448460 454114
ipfw-stateful.inet6 387548 384994 392700
ipfw-stateless.inet4 598487 591028.5 602446
ipfw-stateless.inet6 568474 561115 571485
pf-stateful.inet4 352169 346393 358883
pf-stateful.inet6 352989 349286.5 361688
pf-stateless.inet4 369023 368757 369605.5
pf-stateless.inet6 361455 359974.5 362490
ipf-stateful.inet4 253417 250797.5 258200
ipf-stateful.inet6 263345 259790 265068
ipf-stateless.inet4 402713 399353 403692
ipf-stateless.inet6 349664 349391 351760
