#index median minimum maximum
forwarding.inet4 595942 589669 598627
forwarding.inet6 492725 490696 493072.5
ipf-stateful.inet4 237002 225042 238389
ipf-stateful.inet6 203740 202452 209717
ipf-stateless.inet4 349198 347089 350964
ipf-stateless.inet6 277980 277163 279546
ipfw-stateful.inet4 437836 427496 440162
ipfw-stateful.inet6 341306.5 322061 344054.5
ipfw-stateless.inet4 497613 486353 499243
ipfw-stateless.inet6 397202.5 395874.5 399945.5
pf-stateful.inet4 247399 246824 248010
pf-stateful.inet6 214758 214234.5 216102
pf-stateless.inet4 227246 227030 227465
pf-stateless.inet6 184172 183892 184534
