#index median minimum maximum
forwarding.inet4 866969 863797 886151
forwarding.inet6 878173 874707.5 891295
ipf-stateful.inet4 264552 260046 265067
ipf-stateful.inet6 269294 266936.5 274255.5
ipf-stateless.inet4 440099 436600 441993
ipf-stateless.inet6 364660 358115.5 367317
ipfw-stateful.inet4 542704 540629 571589
ipfw-stateful.inet6 480034 479503.5 485557.5
ipfw-stateless.inet4 707853 705275 709024
ipfw-stateless.inet6 615383 607475 617768.5
pf-stateful.inet4 267505 265948 269433
pf-stateful.inet6 265822 260465.5 267828
pf-stateless.inet4 275468.5 275060 275721
pf-stateless.inet6 254331 253092 256951.5
