#index median minimum maximum
forwarding.inet4 965776 956754 970935
forwarding.inet6 915611 893034.5 924937
ipf-stateful.inet4 268170 266733 276390
ipf-stateful.inet6 275307 264905 275589
ipf-stateless.inet4 435643 433322 436921
ipf-stateless.inet6 364259 363885 368522
ipfw-stateful.inet4 566841 565145 602564
ipfw-stateful.inet6 471844 463244.5 521884.5
ipfw-stateless.inet4 740992 737247 746268
ipfw-stateless.inet6 676658 669742 677790
pf-stateful.inet4 304591 303048 305182
pf-stateful.inet6 309438.5 308349.5 310835
pf-stateless.inet4 278955 278066 280949
pf-stateless.inet6 268687 267915 270454
