#index median minimum maximum
293069 574463 552886 582395
293643 533861 527872 550000
294235 536830 526476 561811
294694 532937 514027 568933
295106 550537 520829 588038
295385 546325 525940 574623
295618 540956 496708 557920
295869 545994 522979 567256
296167 508188 498820 559865
296435 600492 596383 650024
296813 619304 587609 633926
297086 581091 575859 627140
297322 556280 534770 574516
297529 572371 555405 587020
297791 591777 572104 602900
298166 562080 551266 596384
298553 575477 566185 608932
298902 571903 548981 599223
299866 576452 557994 582742
300438 564532 554070 577288
300974 551911 531421 560199
301464 556746 551964 573797
301838 545064 521946 548686
302020 532566 527226 541647
302216 579470 551031 582696
302331 593677 544689 596906
302532 574877 560731 577967
302973 558937 542530 585668
303277 586817 546372 591565
303601 561230 554244 603960
303642 601705 557255 611847
303643 549512 536882 559601
303818 566469 547002 570711
304096 492674 488843 504597
304572 502254 486579 513666
304970 519554 507230 521950
305396 529973 512825 534387
305711 534557 531067 551447
305953 555470 535829 574584
306320 508281 503602 512028
306592 504490 502269 516688
306928 551972 520336 581287
307402 531045 517608 543997
307832 532805 520847 556512
308115 551285 522642 558928
308387 509321 502421 517065
308618 538263 511833 549896
308904 522426 511702 528240
309220 535081 505460 539743
309541 637016 631726 643070
309856 633565 628581 637163
310236 637743 636321 646601
310988 575108 569783 576061

