#index median minimum maximum
293069.fastforwarding 574.463 552.886 582.395
293069.ipfw-statefull 353.571 351.816 358.005
293069.pf-statefull 281.5 278.213 286.859
293643.fastforwarding 533.861 527.872 550.001
293643.ipfw-statefull 329.682 325.827 335.111
293643.pf-statefull 275.566 270.133 289.834
294235.fastforwarding 536.83 526.476 561.8115
294235.ipfw-statefull 333.564 332.784 339.389
294235.pf-statefull 274.115 271.856 287.421
294694.fastforwarding 532.937 514.027 568.933
294694.ipfw-statefull 334.001 331.175 336.587
294694.pf-statefull 271.23 268.05 292.717
295106.fastforwarding 550.537 520.829 588.038
295106.ipfw-statefull 324.411 323.167 325.789
295106.pf-statefull 278.692 272.31 285.1
295385.fastforwarding 546.325 525.94 574.6235
295385.ipfw-statefull 363.749 360.391 366.64
295385.pf-statefull 278.982 275.598 289.0235
295618.fastforwarding 540.9565 496.708 557.92
295618.ipfw-statefull 341.669 333.64 342.722
295618.pf-statefull 279.208 271.556 284.842
295869.fastforwarding 545.994 522.979 567.256
295869.ipfw-statefull 340.1 335.784 348.773
295869.pf-statefull 267.972 267.239 272.653
296167.fastforwarding 508.188 498.82 559.865
296167.ipfw-statefull 370.416 361.776 372.597
296167.pf-statefull 275.1 270.447 275.423
296435.fastforwarding 600.492 596.383 650.024
296435.ipfw-statefull 349.12 345.751 359.828
296435.pf-statefull 299.669 290.7585 305.961
296813.fastforwarding 619.304 587.609 633.926
296813.ipfw-statefull 368.271 364.663 371.718
296813.pf-statefull 300.6265 296.758 304.537
297086.fastforwarding 581.0915 575.859 627.14
297086.ipfw-statefull 351.812 350.164 357.867
297086.pf-statefull 293.605 292.608 295.033
297322.fastforwarding 556.28 534.77 574.516
297322.ipfw-statefull 346.083 343.654 349.686
297322.pf-statefull 283.361 281.855 284.456
297529.fastforwarding 572.371 555.405 587.02
297529.ipfw-statefull 361.642 359.507 364.959
297529.pf-statefull 301.112 292.566 302.463
297791.fastforwarding 591.777 572.104 602.9005
297791.ipfw-statefull 339.118 336.864 349.534
297791.pf-statefull 291.609 282.304 294.065
298166.fastforwarding 562.08 551.266 596.384
298166.ipfw-statefull 332.997 332.449 335.755
298166.pf-statefull 273.718 271.875 277.257
298553.fastforwarding 575.477 566.185 608.932
298553.ipfw-statefull 355.96 353.78 361.208
298553.pf-statefull 299.976 294.006 303.244
298902.fastforwarding 571.903 548.9815 599.223
298902.ipfw-statefull 327.769 324.823 334.76
298902.pf-statefull 283.1 278.922 285.959
299866.fastforwarding 576.452 557.994 582.742
299866.ipfw-statefull 366.911 364.988 370.7065
299866.pf-statefull 292.951 292.077 297.617
300438.fastforwarding 564.532 554.07 577.288
300438.ipfw-statefull 356.87 351.347 360.709
300438.pf-statefull 293.051 281.346 298.383
300974.fastforwarding 551.911 531.421 560.199
300974.ipfw-statefull 334.456 328.917 335.923
300974.pf-statefull 294.816 293.148 301.073
301464.fastforwarding 556.746 551.9645 573.797
301464.ipfw-statefull 337.466 334.003 345.959
