#index median minimum maximum
293069 353571 351816 358005
293643 329682 325827 335111
294235 333564 332784 339389
294694 334001 331175 336587
295106 324411 323167 325789
295385 363749 360391 366640
295618 341669 333640 342722
295869 340100 335784 348773
296167 370416 361776 372597
296435 349120 345751 359828
296813 368271 364663 371718
297086 351812 350164 357867
297322 346083 343654 349686
297529 361642 359507 364959
297791 339118 336864 349534
298166 332997 332449 335755
298553 355960 353780 361208
298902 327769 324823 334760
299866 366911 364988 370706
300438 356870 351347 360709
300974 334456 328917 335923
301464 337466 334003 345959
301838 339641 337439 341838
302020 330451 326277 339441
302216 352931 350838 364852
302331 335672 332141 340385
302532 356437 353052 362022
302973 373914 371009 380279
303277 349045 347202 352640
303601 358296 355497 360431
303642 375229 373704 378501
303643 349903 348004 354174
303818 353112 350916 360556
304096 326041 324687 329948
304572 321739 321515 322709
304970 309289 306972 311320
305396 316298 314639 318271
305711 359361 356756 363150
305953 360175 355421 365699
306320 346205 342909 353187
306592 320303 318503 324430
306928 332015 331546 339700
307402 323665 319684 327971
307832 356298 353445 369175
308115 333854 331208 336570
308387 358156 354665 363388
308618 367518 366101 371609
308904 352971 350175 355418
309220 352776 335306 355515
309541 365401 357412 367173
309856 339052 335665 343578
310236 376288 374077 383631
310988 380055 378413 384438
