#index median minimum maximum
293069 284165 282489 286806
293643 273881 271084 278610
294235 279323 270595 303901
294694 269729 266327 275289
295106 286591 276427 295025
295385 280896 271048 292361
295618 279191 273777 290269
295869 278791 276832.5 279784
296167 275282 269379 281668
296435 293577 287038 298578
296813 301685 294344 304745
297086 293350 287547 295494
297322 285638 279877 290271
297529 293421 289440 304525
297791 290410 286509 293417
298166 273319 270884 275108
298553 302272 294527 303449
298902 281346 280149 284612
299866 292540 289683 295595
300438 292846 282852 294450
300974 292755 289948 297499
301464 272279 271006 273090
301838 274023.5 272981 274348
302020 267097 266407.5 276849
302216 289783 286713 291394
302331 291084 289761.5 301016
302532 296091 290582 302790
302973 295953.5 293250 298076
303277 301225 299410 302394
303601 280232 280109 281578
303642 289867 286176 290430
303643 278470 276820.5 279391
303818 279984 278956 288069
304096 283423 280552 287279
304572 279220 278146 283696
304970 270322 265549 271402
305396 266291 265134 267996
305711 289926 287297 294471
305953 288061 287087.5 295143.5
306320 273432 272013 279063
306592 277320 272897 279659
306928 280830 279732 283496
307402 287985 286988 290658
307832 277081 276311 279390
308115 296528 295072 298319
308387 278136 277888 283631
308618 289745 287264 291130
308904 274589 273851 277197.5
309220 291481.5 290307.5 292079
309256 281402 278257 285118
309257 289894 285686 294995
309541 279504 279239 284960
309856 282769 280496 288346
310236 295249 291274 297973
310988 286475 283008 289809
