#index median minimum maximum
forwarding.inet4 367710 365339 370845
forwarding.inet6 369384 367961.5 372443.5
ipf-stateful.inet4 189273 184903 189820
ipf-stateful.inet6 179024.5 175605.5 181208
ipf-stateless.inet4 288264 285678 290058
ipf-stateless.inet6 259811.5 259450.5 260081.5
ipfw-stateful.inet4 322565 322275 323286
ipfw-stateful.inet6 303777 299771 306407.5
ipfw-stateless.inet4 329901 328074 331950
ipfw-stateless.inet6 331498 330089.5 332234
pf-stateful.inet4 261291 261051 262736
pf-stateful.inet6 259572 257602.5 267748
pf-stateless.inet4 252853 252307 254770
pf-stateless.inet6 257989.5 255632.5 260693.5
