#index median minimum maximum
11.0.forwarding.inet4 508462 501520 512550
11.0.forwarding.inet6 332160.5 327546 334869.5
11.0.ipf-statefull.inet4 209198 204696 211755
11.0.ipf-statefull.inet6 136363.5 135765 138385
11.0.ipf-stateless.inet4 306109 305188 309836
11.0.ipf-stateless.inet6 188021 187692 188420.5
11.0.ipfw-statefull.inet4 326846 326146 329437
11.0.ipfw-statefull.inet6 6083.5 5826 6346
11.0.ipfw-stateless.inet4 401473 397620 404777
11.0.ipfw-stateless.inet6 279825 279462 280915.5
11.0.pf-statefull.inet4 287747 286279 291169
11.0.pf-statefull.inet6 185337 183748.5 187741
11.0.pf-stateless.inet4 271999 268600 273107
11.0.pf-stateless.inet6 173922.5 173283 174164
11.1BETA1.forwarding.inet4 710398 693050 713488
11.1BETA1.forwarding.inet6 661590.5 657000 667645
11.1BETA1.ipf-statefull.inet4 230456 228024 232445
11.1BETA1.ipf-statefull.inet6 209079.5 207708.5 210987.5
11.1BETA1.ipf-stateless.inet4 394372 393973 396662
11.1BETA1.ipf-stateless.inet6 318088.5 314667 318959.5
11.1BETA1.ipfw-statefull.inet4 475940 473209 477859
11.1BETA1.ipfw-statefull.inet6 370230.5 368702.5 372643
11.1BETA1.ipfw-stateless.inet4 595966 589000 602833
11.1BETA1.ipfw-stateless.inet6 502791.5 499733 505222
11.1BETA1.pf-statefull.inet4 317617 314942 326942
11.1BETA1.pf-statefull.inet6 290803 289651.5 295692
11.1BETA1.pf-stateless.inet4 322644 320317 323011
11.1BETA1.pf-stateless.inet6 264407.5 262498 265773
