#index median minimum maximum
forwarding.inet4 734556 730075 738806
forwarding.inet6 709023 702120 712761
ipf-stateful.inet4 218509 212999 225453
ipf-stateful.inet6 217203 213519 223224.5
ipf-stateless.inet4 379790 379052 380241
ipf-stateless.inet6 340378 339095 340884
ipfw-stateful.inet4 425085 422991 426465
ipfw-stateful.inet6 371013.5 370165 371219.5
ipfw-stateless.inet4 537820 536253 538849
ipfw-stateless.inet6 511475 509449.5 512664.5
pf-stateful.inet4 313329 306707 316363
pf-stateful.inet6 306969.5 305722.5 315960.5
pf-stateless.inet4 318580 318091 321776
pf-stateless.inet6 310022 308764 311258.5
