#index median minimum maximum
forwarding.inet4 752097 741719 757388
forwarding.inet6 740539.5 734204 741958
ipf-stateful.inet4 229337 228133 231794
ipf-stateful.inet6 221565.5 218552.5 228188.5
ipf-stateless.inet4 364978 364057 365559
ipf-stateless.inet6 345996.5 343483.5 346872.5
ipfw-stateful.inet4 433972 430138 435577
ipfw-stateful.inet6 380857.5 376686 387058.5
ipfw-stateless.inet4 558676 556086 561418
ipfw-stateless.inet6 560139.5 558637.5 561527.5
pf-stateful.inet4 325673 319342 333611
pf-stateful.inet6 315476 308907 318710
pf-stateless.inet4 304467 303422 306366
pf-stateless.inet6 302978.5 302542 304185
