#index median minimum maximum
309881.aes-cbc-128 409 406 412
309881.aes-cbc-256 396 352 398
309881.aes-ctr-128 414 349 414
309881.aes-ctr-256 413 381 414
309881.aes-gcm-128 381 380 384
309881.aes-gcm-256 378 366 381
309881.camellia-cbc-128 302 300 302
309881.camellia-cbc-256 301 300 302
309881.null 570 566 571
IPSec.aes-cbc-128 460 456 460
IPSec.aes-cbc-256 446 446 446
IPSec.aes-ctr-128 476 476 487
IPSec.aes-ctr-256 476 476 476
IPSec.aes-gcm-128 427 425 428
IPSec.aes-gcm-256 427 425 428
IPSec.camellia-cbc-128 334 333 335
IPSec.camellia-cbc-256 334 322 335
IPSec.null 658 648 660
