#index median minimum maximum
forwarding.inet4 11955149 11935201 11969766
forwarding.inet6 11771167 10894598 11819392
ipf-stateful.inet4 1988786.5 1972387.5 2011471
ipf-stateful.inet6 2992086 2950169 3027021
ipf-stateless.inet4 4777395 4747375.5 4812834
ipf-stateless.inet6 4631147 4562739 4650849
ipfw-stateful.inet4 11843044 11817771 11931008
ipfw-stateful.inet6 12616255 12583159 12624224
ipfw-stateless.inet4 11918796 11914314 11929397
ipfw-stateless.inet6 11781912 11756478 11801776
pf-stateful.inet4 11464634 11402734 11549084
pf-stateful.inet6 10822187 10792739 10860214
pf-stateless.inet4 11879006 11850201 11905180
pf-stateless.inet6 11053296 11011154 11081555
