#index median minimum maximum
293069.fastforwarding 778787 772902 787583
293069.ipfw-statefull 505342 501485.5 511015
293069.pf-statefull 401036 398811 402140.5
293643.fastforwarding 779663 773908 806984
293643.ipfw-statefull 513433.5 504183 527785
293643.pf-statefull 405079.5 403277.5 413164.5
294235.fastforwarding 794416 775626 808096
294235.ipfw-statefull 499334 490741.5 518923.5
294235.pf-statefull 395010.5 393458.5 399658
294694.fastforwarding 787080 765514 804389
294694.ipfw-statefull 495893 495385 511931
294694.pf-statefull 403910 401885 404472
295106.fastforwarding 787421 771739.5 791969
295106.ipfw-statefull 502262 499780 511703.5
295106.pf-statefull 409872 403722 412003
295385.fastforwarding 777961 770840 795207
295385.ipfw-statefull 515754 514480 523239
295385.pf-statefull 401804 398827 405611
295618.fastforwarding 799308 782238 800229
295618.ipfw-statefull 511040 505474 513124
295618.pf-statefull 404975 402033 416224
295869.fastforwarding 805996 795889 806579
295869.ipfw-statefull 515308 512695 519869
295869.pf-statefull 404859 402557 409066
296167.fastforwarding 783656.5 766237 811451
296167.ipfw-statefull 515422 510696 522802.5
296167.pf-statefull 407655 403530 412089
296435.fastforwarding 842879 817019 848510
296435.ipfw-statefull 531850 530529 536148.5
296435.pf-statefull 423316 415448.5 425990
296813.fastforwarding 818688 800570 828691
296813.ipfw-statefull 516231.5 514226.5 522020
296813.pf-statefull 414354 411917 422725
297086.fastforwarding 829490 815823 832488
297086.ipfw-statefull 520127 519754 553840
297086.pf-statefull 403867 400963.5 406029.5
297322.fastforwarding 827248 812044 838141
297322.ipfw-statefull 510803.5 504194 517465
297322.pf-statefull 418053 412758 420854.5
297529.fastforwarding 827432 824851 830582.5
297529.ipfw-statefull 520561 511258 525056
297529.pf-statefull 412484.5 406629 415598
297791.fastforwarding 824754 807346 837846
297791.ipfw-statefull 525875 513691 541368.5
297791.pf-statefull 408516 408066.5 420175
298166.fastforwarding 819937 806974 820745
298166.ipfw-statefull 509936 505525.5 514218
298166.pf-statefull 406439 315541 408805
298553.fastforwarding 816865 796289 829347
298553.ipfw-statefull 517189 510632 520807
298553.pf-statefull 400051 399559 401364
298902.fastforwarding 803904 795058.5 813205
298902.ipfw-statefull 512371 509957.5 539349
298902.pf-statefull 411739 408865 413682
299866.fastforwarding 803592 798852 812627
299866.ipfw-statefull 511833 509456 513114
299866.pf-statefull 408284 405905 413730
300438.fastforwarding 811963.5 719792 821020
300438.ipfw-statefull 527683.5 518771.5 529113
