#key median minimum maximum
fastforwarding 276669 721754 720447 738283
277034 714492 698523 723961
277350 723346 714699.5 728333
277717 706614 692122.5 715012
278038 698006 689585 716412
278477 703655 689556 720113
278826 721184 701282 727501
279189 717132 710734 727777
279554 723427 717851 737354
279828 728447 719521 731517
280156 735592 721429 743476
280357 731914 719486 734624
280829 701142 691804 721446
281121 723998 717601 734145
281470 718330 700104 719882
281752 724757 721639 740291.5
282042 732167 724833.5 741711.5
282369 746487 739486.5 753884
282739 720770 707563 745557
283035 729325 712765.5 747424
283593 717940 713882 727170
283841 705490 694506 711223
284168 737564.5 711997 747528
284739 478724 478031 480394
284916 638676 629466 644714
285173 668564 653135 675168
285433 672546 661144 679152
285702 750688 739208 756496
285903 748130 731416 757265
286213 753252 737418 763574
286556 733438 720003 744897
286833 753668 739119 758010
287083 772628 759985 775191
287314 764990 758504 778340
287525 765121 750416 784902.5
287767 767744 760691 792179.5
288046 790173 762863 805435
288311 774999 765672 779638
288671 772532 767200 792515
289159 764339 742103 765588
289550 777422 761443 795199
289951 763823 745214 780357
290245 766398 762414 780322
290914 747030 744723 752062
291164 769053 749488.5 783541
291461 769130 751760 776559
291909 785682 770111 795569
292177 822405 806376 842992
292519 810138 801216 831681
292788 775388 758994 781787
293120 796700 773181 803554
ipfw-statefull 276669 465234 461793 473498.5
277034 459703 458925 475088
277350 461074 450902 464759.5
277717 451637.5 447026.5 466767
278038 449993 445328 460210
278477 457392 451164 469696
278826 456351 444925 458362
279189 466698 461790 471471
279554 457467 456645 462207
279828 466523.5 460682 473750.5
280156 464612 461868 471587
280357 441162 436076 447096
280829 459198 452801.5 462798
281121 457397 453968 482897
281470 459953 451373 473920
281752 461530 459768 472195
282042 463530 460835 465745
282369 457731 456400 462051
282739 451931 451302 461329
283035 467249 460016.5 469523
283593 463070 459933 469876
283841 459025 449350 475718
284168 458227 454211 468071
284739 370153 367366 381050
284916 418164 410472 422502
285173 428198 422461 434673
285433 412619 409450 416458
285702 451778 446827 454808
285903 464184 460124 473572
286213 481558 476666 484171
286556 478599 473038 494517.5
286833 487087 484590.5 498836.5
287083 510293 500035 531986
287314 496844 495117 504927
287525 493383.5 485584 502938
287767 480973 473250 487620
288046 511782 506356 516736
288311 502881 497618 504312
288671 496243 491104 501479
289159 495633 282504 510827
289550 498046.5 490854 499669
289951 508430 505068 516752
290245 519683 514196 544232
290914 485788 482629 491291
291164 466071 465688 467438
291461 489448 485891 490954
291909 507306 503866 511616
292177 507505 500826 510604
292519 507510 504244 517092
292788 506085 493547 532856
293120 513477 512725.5 525795
pf-statefull 276669 381080 377735 383141
277034 375667 374291 377161
277350 372225 369337 373172
277717 372464 370295 373804
278038 376261 374752 376987
278477 377260 375478 379045
278826 376091 375887 377990
279189 376257 373172 383082
279554 376682 376362 377887
279828 383394 377783.5 388433
280156 383177 378870.5 395965
280357 377398 374393 378629
280829 375482 373305 383167
281121 384148 378857 386217
281470 377804 376514 381057
281752 377654 375744 379289
282042 379343 377616 392319
282369 387549 383453 388366
282739 379328 378355 388289
283035 379789 378929 381590
283593 378509 378027 381393
283841 370613 369659 371183
284168 376658 375333 377488
284739 282888 281653 283907
284916 337328 330753 339399
285173 350400 349969 353874
285433 351286 350029 353209
285702 383551 378243 385057.5
285903 387351 385267 391226
286213 397580 397010 399348
286556 380710 378749.5 384350
286833 399821 396988.5 402961.5
287083 396994 391555.5 397538
287314 390108 379490.5 396263
287525 395142 393565.5 397951.5
287767 400310 397895.5 404488
288046 402027 399092.5 407830.5
288311 401263 399449 406474
288671 397232 393400 400864
289159 374300 373100 377215
289550 397551 395627 399552
289951 397628 396329 404950
290245 399234 397095 399731
290914 363518 359248.5 366436
291164 395863 389921 397127
291461 378728 377801 380416
291909 398650 396501 400620
292177 403576 401548 412253
292519 398675 396411 399977
292788 398751 398047 399734
293120 402342 398946 403969
