# (revision)	median	minimum		maximum
276669 381080 377735 383141
277034 375667 374291 377161
277350 372225 369337 373172
277717 372464 370295 373804
278038 376261 374752 376987
278477 377260 375478 379045
278826 376091 375887 377990
279189 376257 373172 383082
279554 376682 376362 377887
279828 383394 377783.5 388433
280156 383177 378870.5 395965
280357 377398 374393 378629
280829 375482 373305 383167
281121 384148 378857 386217
281470 377804 376514 381057
281752 377654 375744 379289
282042 379343 377616 392319
282369 387549 383453 388366
282739 379328 378355 388289
283035 379789 378929 381590
283593 378509 378027 381393
283841 370613 369659 371183
284168 376658 375333 377488
284739 282888 281653 283907
284916 337328 330753 339399
285173 350400 349969 353874
285433 351286 350029 353209
285702 383551 378243 385057.5
285903 387351 385267 391226
286213 397580 397010 399348
286556 380710 378749.5 384350
286833 399821 396988.5 402961.5
287083 396994 391555.5 397538
287314 390108 379490.5 396263
287525 395142 393565.5 397951.5
287767 400310 397895.5 404488
288046 402027 399092.5 407830.5
288311 401263 399449 406474
288671 397232 393400 400864
289159 374300 373100 377215
289550 397551 395627 399552
289951 397628 396329 404950
290245 399234 397095 399731
290914 363518 359248.5 366436
291164 395863 389921 397127
291461 378728 377801 380416
291909 398650 396501 400620
292177 403576 401548 412253
292519 398675 396411 399977
292788 398751 398047 399734
293120 402342 398946 403969
