# (revision)	median	minimum		maximum
276669 721754 720447 738283
277034 714492 698523 723961
277350 723346 714699.5 728333
277717 706614 692122.5 715012
278038 698006 689585 716412
278477 703655 689556 720113
278826 721184 701282 727501
279189 717132 710734 727777
279554 723427 717851 737354
279828 728447 719521 731517
280156 735592 721429 743476
280357 731914 719486 734624
280829 701142 691804 721446
281121 723998 717601 734145
281470 718330 700104 719882
281752 724757 721639 740291.5
282042 732167 724833.5 741711.5
282369 746487 739486.5 753884
282739 720770 707563 745557
283035 729325 712765.5 747424
283593 717940 713882 727170
283841 705490 694506 711223
284168 737564.5 711997 747528
284739 478724 478031 480394
284916 638676 629466 644714
285173 668564 653135 675168
285433 672546 661144 679152
285702 750688 739208 756496
285903 748130 731416 757265
286213 753252 737418 763574
286556 733438 720003 744897
286833 753668 739119 758010
287083 772628 759985 775191
287314 764990 758504 778340
287525 765121 750416 784902.5
287767 767744 760691 792179.5
288046 790173 762863 805435
288311 774999 765672 779638
288671 772532 767200 792515
289159 764339 742103 765588
289550 777422 761443 795199
289951 763823 745214 780357
290245 766398 762414 780322
290914 747030 744723 752062
291164 769053 749488.5 783541
291461 769130 751760 776559
291909 785682 770111 795569
292177 822405 806376 842992
292519 810138 801216 831681
292788 775388 758994 781787
293120 796700 773181 803554
