# (revision)	median	minimum		maximum
276669 465234 461793 473498.5
277034 459703 458925 475088
277350 461074 450902 464759.5
277717 451637.5 447026.5 466767
278038 449993 445328 460210
278477 457392 451164 469696
278826 456351 444925 458362
279189 466698 461790 471471
279554 457467 456645 462207
279828 466523.5 460682 473750.5
280156 464612 461868 471587
280357 441162 436076 447096
280829 459198 452801.5 462798
281121 457397 453968 482897
281470 459953 451373 473920
281752 461530 459768 472195
282042 463530 460835 465745
282369 457731 456400 462051
282739 451931 451302 461329
283035 467249 460016.5 469523
283593 463070 459933 469876
283841 459025 449350 475718
284168 458227 454211 468071
284739 370153 367366 381050
284916 418164 410472 422502
285173 428198 422461 434673
285433 412619 409450 416458
285702 451778 446827 454808
285903 464184 460124 473572
286213 481558 476666 484171
286556 478599 473038 494517.5
286833 487087 484590.5 498836.5
287083 510293 500035 531986
287314 496844 495117 504927
287525 493383.5 485584 502938
287767 480973 473250 487620
288046 511782 506356 516736
288311 502881 497618 504312
288671 496243 491104 501479
289159 495633 282504 510827
289550 498046.5 490854 499669
289951 508430 505068 516752
290245 519683 514196 544232
290914 485788 482629 491291
291164 466071 465688 467438
291461 489448 485891 490954
291909 507306 503866 511616
292177 507505 500826 510604
292519 507510 504244 517092
292788 506085 493547 532856
293120 513477 512725.5 525795
