#index median minimum maximum
forwarding.inet4 1128847 1090716 1132759.5
forwarding.inet6 1116186 1100128 1135021.5
ipfw-stateful.inet4 710848.75 696537 723287
ipfw-stateful.inet6 649762.5 634554.5 665373
ipfw-stateless.inet4 857295.5 850060 884579
ipfw-stateless.inet6 850600.5 771107 857465
pf-stateful.inet4 585909.5 581305 589196.5
pf-stateful.inet6 553732 539080 558006
pf-stateless.inet4 512880.75 512201.5 514536
pf-stateless.inet6 503332 489816 509844
ipf-stateful.inet4 439613.5 435517 441267
ipf-stateless.inet4 536211 530221 540449
ipf-stateless.inet6 486922.5 483385 487575
