#index median minimum maximum
forwarding.inet4 1104137 1091926 1113571
forwarding.inet6 1069173.5 1060774 1074917
ipfw-stateful.inet4 678125 674458 682230
ipfw-stateful.inet6 619839 616015 624031
ipfw-stateless.inet4 853773.5 844515 865457
ipfw-stateless.inet6 831416 824074 1327112
pf-stateful.inet4 576427.5 568671 584229.5
pf-stateful.inet6 548853 546140 552527
pf-stateless.inet4 510262.5 505423 511707.5
pf-stateless.inet6 484367.5 480976.5 485474
ipf-stateful.inet4 439236 438021 747159
ipf-stateful.inet6 425963.5 424710 426889
ipf-stateless.inet4 515166 514201 516380.5
ipf-stateless.inet6 499183.5 495130 499870
