#index median minimum maximum
309881.aes-cbc-128 490 489 490
309881.aes-cbc-256 476 473 476
309881.aes-ctr-128 504 501 505
309881.aes-ctr-256 490 490 490
309881.aes-gcm-128 445 443 446
309881.aes-gcm-256 428 428 437
309881.camellia-cbc-128 366 366 366
309881.camellia-cbc-256 336 335 336
309881.null 695 691 700
IPSec.aes-cbc-128 554 553 564
IPSec.aes-cbc-256 538 523 539
IPSec.aes-ctr-128 583 572 583
IPSec.aes-ctr-256 570 567 570
IPSec.aes-gcm-128 501 490 504
IPSec.aes-gcm-256 489 487 490
IPSec.camellia-cbc-128 406 398 407
IPSec.camellia-cbc-256 351 351 352
IPSec.null 829 764 829
