#index median minimum maximum
forwarding.inet4 1236356 1228781 1241890.5
forwarding.inet6 1089761 1084209 1094998
ipf-stateful.inet4 306745 291349 308325
ipf-stateful.inet6 266288 261186 282334
ipf-stateless.inet4 550337 545534 555605
ipf-stateless.inet6 447155 443603 447613
ipfw-stateful.inet4 667969 655262 672442
ipfw-stateful.inet6 523761 519926 532710
ipfw-stateless.inet4 906922.5 901417 913464.5
ipfw-stateless.inet6 846322 837852 850474
pf-stateful.inet4 508818.5 504163 511230
pf-stateful.inet6 469590 469431 470324
pf-stateless.inet4 479866 476677 481186
pf-stateless.inet6 430525 426232 432831
