#index median minimum maximum
311014 945667 939058 950680
311703 961366 952093.5 987970.5
311848 972643 960705 987041
312205 845595 832417 853709
312237 843863 832476 848959
312652 827349.5 814584 839617
312969 863784 854615 878112
313287 875717 872710.5 898420
313690 887601 874058 901843
314286 860519 857181 864308
314687 902635 879908 908408
315091 890501 874100 894065
315216 884306 880427 910340
315217 800926 784070 806774
315516 767837 758395 774662.5
315968 822131 812970 825965
316377 827424 819913 848305
316647 852386 830711.5 859056
316989 825675 812383 847071
317304 833534 825489 846338
317600 828339 819136 837311
317901 830169 805149 836009
318259 844077 833037.5 846354.5
318589 828754 826236 832522
319002 802172 795711 828997
319557 824133 816858 842863
319810 793350 778670 800637
319836 792885 774740 807474.5
320087 802851.5 798723 811086.5
320338 818121 806366 827780
320579 797510.5 795744 805002
320850 840520.5 836034 856088
321048 829427 819705.5 833161
321400 819105 807620 822677
321730 833010 822022 850713
322124 822779 810313 825024
322475 832237 811398 834149
322723 841102 832549 844729
322954 837465 823972.5 849635
323147 818007.5 811252 828802
323687 842657.5 837785 845672
323980 909878 900074 918073
324416 917398 911901 935651
324638 901504 899681 904842
324870 878260 875093.5 892072
325110 880691 870584 887722
325458 886729 872001.5 893555
325746 889183 881625 901096
326001 885586.5 875040 893455
326237 894821.5 886395 913473
326503 911571 907178.5 913714
326752 916691 914820 917417
326919 925640 924212 933011
326950 926826.5 923050 928737
327000 929683 926040 933624
327012 920470 909219.5 923241
327017 512374 512049.5 515865
327051 525534 517656 529463
327052 536622.5 534534 542953
327100 513055 511609 514359
327150 528798 520020 534987
327168 524957 517717 528499
