#index median minimum maximum
forwarding.inet4 1023737 1010244 1026822
forwarding.inet6 945849 938138 950382
ipf-stateful.inet4 295363.5 290454 299208
ipf-stateful.inet6 259962 252412 263552
ipf-stateless.inet4 511342 505734 514772.5
ipf-stateless.inet6 429516 427820 433576
ipfw-stateful.inet4 615247 608194 623618.5
ipfw-stateful.inet6 491471 489579 493256
ipfw-stateless.inet4 788962 774199 792930.5
ipfw-stateless.inet6 743222 740738 751040
pf-stateful.inet4 470141.5 468234 474694
pf-stateful.inet6 426850 426214 434205
pf-stateless.inet4 425362 424355 426017
pf-stateless.inet6 392264 391220 395272
