#index median minimum maximum
forwarding.inet4 4298051 4147670 4321469
forwarding.inet6 3437417 3406611 3478779
ipf-stateful.inet4 735771 709571 740579
ipf-stateful.inet6 670638 643713.5 698331
ipf-stateless.inet4 1598901 1591558 1621955
ipf-stateless.inet6 1346183 1337538 1351395
ipfw-stateful.inet4 2367292 2352529 2379075
ipfw-stateful.inet6 1805149 1792858 1813613
ipfw-stateless.inet4 3276910 3259515 3362691
ipfw-stateless.inet6 2741928 2708326 2754914
pf-stateful.inet4 1684713 1634649 1697993
pf-stateful.inet6 1453941 1441912 1480749
pf-stateless.inet4 1422528 1421426 1426261
pf-stateless.inet6 1289068 1281728 1295141
