#index median minimum maximum
forwarding.inet4 3171849 3147761 3204321
forwarding.inet6 3050449 3018689.5 3106962
ipf-stateful.inet4 722703 703047 751722
ipf-stateful.inet6 672672 658084 704983
ipf-stateless.inet4 1496774 1479113 1505642
ipf-stateless.inet6 1275651 1273709 1289627
ipfw-stateful.inet4 2035985 2029373 2054120
ipfw-stateful.inet6 1578204 1562745 1588163
ipfw-stateless.inet4 2598033 2534209 2644597
ipfw-stateless.inet6 2510077 2491079 2515731
pf-stateful.inet4 1489564 1476216 1494918
pf-stateful.inet6 1375162 1346722 1391929
pf-stateless.inet4 1270963 1267669 1283097
pf-stateless.inet6 1202991 1199036 1210723
