#index median minimum maximum
forwarding.inet4 4547604 4464578 4581555
forwarding.inet6 4735054 4665346 4817330
ipfw-stateful.inet4 2367628 2352756 2378302.5
ipfw-stateful.inet6 2350183 2322007 2354695
ipfw-stateless.inet4 3324078.5 3298963 3341447
ipfw-stateless.inet6 3461029 3400802 3471083
pf-stateful.inet4 1757265 1739816 1765903
pf-stateful.inet6 1696863 1686357 1721715
pf-stateless.inet4 1553156.5 1552263.5 1561144
pf-stateless.inet6 1552036 1545993 1554984
ipf-stateful.inet4 257037 251873 259585
ipf-stateful.inet6 378115 371666 381677.5
ipf-stateless.inet4 1673715 1662420 1692858
ipf-stateless.inet6 1635253.5 1627329 1651228
