#index median minimum maximum
364729.forwarding.inet4 3028253 2927843 3066326
364729.forwarding.inet6 3410699 3307679 3485454
364729.ipf-stateful.inet4 645705 636117 648501
364729.ipf-stateful.inet6 703948 696239 706127
364729.ipf-stateless.inet4 813747 806099 820640
364729.ipf-stateless.inet6 897202 889141.5 913381
364729.ipfw-stateful.inet4 1739405.5 1719145.5 1768274
364729.ipfw-stateful.inet6 1892223 1826485 1946309
364729.ipfw-stateless.inet4 2151871 2123068 2167266
364729.ipfw-stateless.inet6 2369966 2350689 2408717
364729.pf-stateful.inet4 1307296 1299231 1328196
364729.pf-stateful.inet6 1501899.5 1488203 1507221
364729.pf-stateless.inet4 1113070 1104307.5 1126615
364729.pf-stateless.inet6 1250844 1245192 1255304
364730.forwarding.inet4 3091841 3058976 3109196.5
364730.forwarding.inet6 3426722 3354086 3472440.5
364730.ipf-stateful.inet4 646021 642709 647046
364730.ipf-stateful.inet6 700424 695971 702704
364730.ipf-stateless.inet4 821331 805809 824019
364730.ipf-stateless.inet6 900466 890879 917348
364730.ipfw-stateful.inet4 1729742 1693470 1742467
364730.ipfw-stateful.inet6 1884685 1846693 1907750.5
364730.ipfw-stateless.inet4 2155729 2133120 2185794
364730.ipfw-stateless.inet6 2478724 2413395.5 2504901.5
364730.pf-stateful.inet4 1318387.5 1313689 1340213
364730.pf-stateful.inet6 1519584.5 1487052 1543717
364730.pf-stateless.inet4 1142957 1136508 1146044
364730.pf-stateless.inet6 1288911 1284378 1289674
