#index median minimum maximum
forwarding.inet4 5840196 5773014 6052320
forwarding.inet6 4945459 4835202 4974368
ipf-stateful.inet4 669968 662674 675144
ipf-stateful.inet6 644661 638382 659685.5
ipf-stateless.inet4 1129093 1114075 1134469
ipf-stateless.inet6 1106019 1099845.5 1109095
ipfw-stateful.inet4 3261402 3222614 3337306
ipfw-stateful.inet6 2679256 2606354 2693247
ipfw-stateless.inet4 4166632 4117589 4215606
ipfw-stateless.inet6 3615405 3572935 3651995
pf-stateful.inet4 2720424 2668298 2733535
pf-stateful.inet6 2300586 2262064.5 2313784
pf-stateless.inet4 2283764 2235141 2297989
pf-stateless.inet6 1805302.5 1785345 1830443.5
