#index median minimum maximum
forwarding.inet4 3816250 3788354 3899064
forwarding.inet6 3437041 3423911 3477913
ipf-stateful.inet4 775111 753706 791176
ipf-stateful.inet6 729166 721238 785388
ipf-stateless.inet4 1626306 1615808 1643436
ipf-stateless.inet6 1387396 1373855 1408591
ipfw-stateful.inet4 2130535 2108908 2174809
ipfw-stateful.inet6 1794330 1787179 1819288
ipfw-stateless.inet4 3054777 3017855 3098264
ipfw-stateless.inet6 2867666 2799974 2903500
pf-stateful.inet4 1596054 1582483 1624967
pf-stateful.inet6 1519480 1491253.5 1529823
pf-stateless.inet4 1514056 1505912 1521186
pf-stateless.inet6 1342710 1337457 1357290
