#index median minimum maximum
forwarding.inet4 3798019 3721779.5 3804465
forwarding.inet6 3648046.5 3596708 3702321.5
ipfw-stateful.inet4 2046005 2038026 2072097
ipfw-stateful.inet6 1568747.5 1546303 1583688
ipfw-stateless.inet4 3006778 2998955 3048704
ipfw-stateless.inet6 2979816.5 2964548.5 2989507
pf-stateful.inet4 1666639 1654567 1679156
pf-stateful.inet6 1590237 1587257.5 1613085.5
pf-stateless.inet4 1667584 1661555.5 1677820
pf-stateless.inet6 1627075 1620265 1633450
ipf-stateful.inet4 258318 257723 264130
ipf-stateful.inet6 372302 364476.5 374133
ipf-stateless.inet4 1669905.5 1658086 1673165
ipf-stateless.inet6 1612925.5 1600046 1621329
