#index median minimum maximum
forwarding.inet4 4407349 4400985 4424927
forwarding.inet6 3947682 3915922 3995663
ipf-stateful.inet4 665033 644940.5 671858
ipf-stateful.inet6 642860 619093 652087
ipf-stateless.inet4 1054819 1036452 1056739
ipf-stateless.inet6 1035337 1011696.5 1044083
ipfw-stateful.inet4 2892787 2814134.5 2938335
ipfw-stateful.inet6 2551145 2488076 2569692
ipfw-stateless.inet4 3324879 3259144.5 3368611
ipfw-stateless.inet6 3084540 3036893.5 3115769
pf-stateful.inet4 2272766 2252465 2288541
pf-stateful.inet6 2169057 2149582 2198856.5
pf-stateless.inet4 2135483 2121332 2173975
pf-stateless.inet6 1916887 1900263.5 1927308.5
