#index median minimum maximum
forwarding.inet4 5591154 4915543.5 5867096
forwarding.inet6 4874362 4440170 5023437.5
ipf-stateful.inet4 655209.5 644601 668597
ipf-stateful.inet6 903335 887484.5 910677.5
ipf-stateless.inet4 1101357 1099092 1114290
ipf-stateless.inet6 1086437 1072990 1089123
ipfw-stateful.inet4 3321802.5 3266597 3326455
ipfw-stateful.inet6 2439423 2424589 2488800
ipfw-stateless.inet4 4134222.5 4099762 4181736
ipfw-stateless.inet6 3519196 3454706.5 3589962
pf-stateful.inet4 1755894.5 1739745 1791010
pf-stateful.inet6 1687626 1673246 1694024
pf-stateless.inet4 1487517 1466439.5 1488377
pf-stateless.inet6 1373878 1345409.5 1376369.5
