#index median minimum maximum
forwarding.inet4 5555293 4789167 5675689
forwarding.inet6 5066834 4513451.5 5099988.5
ipf-stateful.inet4 644450 629739 648126
ipf-stateful.inet6 884726 875392 898769.5
ipf-stateless.inet4 1086712 1080730 1092985
ipf-stateless.inet6 1061925 1047395 1069351
ipfw-stateful.inet4 3195142.5 2954774 3219689
ipfw-stateful.inet6 2849927.5 2595473.5 2899838
ipfw-stateless.inet4 4042203 3672603 4113949
ipfw-stateless.inet6 3875365 3835438 3954293.5
pf-stateful.inet4 1704808 1685636 1707032
pf-stateful.inet6 1686950.5 1670918 1704945
pf-stateless.inet4 1387331 1379891 1401395
pf-stateless.inet6 1288081 1283805 1289310
