#index median minimum maximum
forwarding.inet4 4128127 4118812.5 4234231
forwarding.inet6 3805933.5 3752211.5 3864893.5
ipf-stateful.inet4 257226.5 256308.5 258658.5
ipf-stateful.inet6 253014.5 247229 256304.5
ipf-stateless.inet4 1651464 1638921.5 1661765.5
ipf-stateless.inet6 1454974.5 1440933 1462343
ipfw-stateful.inet4 2543552 2506987 2587321
ipfw-stateful.inet6 2117493.5 2090767 2123788.5
ipfw-stateless.inet4 3130911.5 3049076.5 3164717
ipfw-stateless.inet6 2810413.5 2750386 2876831.5
pf-stateful.inet4 1633969.5 1617558 1666625.5
pf-stateful.inet6 1547692 1533218 1561790
pf-stateless.inet4 1561941 1557464 1584106
pf-stateless.inet6 1455761 1446298.5 1463644.5
