#index median minimum maximum
forwarding.inet4 3227104.5 3192629 3280904.5
forwarding.inet6 3069625 3050540 3116161
ipf-statefull.inet4 733890 695457 743808
ipf-statefull.inet6 687172 670171 718989
ipf-stateless.inet4 1578271 1531096 1586604
ipf-stateless.inet6 1295339 1285326 1306025
ipfw-statefull.inet4 2038304 1823057 2061891
ipfw-statefull.inet6 1454518.5 1432559 1598578
ipfw-stateless.inet4 2659026 2292378 2709565
ipfw-stateless.inet6 2478561 2132902 2534519
pf-statefull.inet4 1521581 1375887.5 1542539
pf-statefull.inet6 1402874 1278865 1432646
pf-stateless.inet4 1369019 1366955 1373207
pf-stateless.inet6 1278430 1179839 1279299
