#index median minimum maximum
293069.fastforwarding 602139 582189.5 783609
293069.ipfw-statefull 1225786 865000 1249865
293069.pf-statefull 1170480 1083817 1185895.5
293643.fastforwarding 578178 556225 677753
293643.ipfw-statefull 1116456 840481.5 1139270
293643.pf-statefull 1051387 1047200 1181795
294235.fastforwarding 586131 580842 724078.5
294235.ipfw-statefull 1160377 909430 1198214
294235.pf-statefull 1114673 1100008 1163873.5
294694.fastforwarding 681487 573704 723925
294694.ipfw-statefull 1193680 875188 1198679
294694.pf-statefull 1111455 1107459 1119212
295106.fastforwarding 592152.5 572769 717999
295106.ipfw-statefull 1237723 866206 1254481
295106.pf-statefull 1212164 1106630 1254243
295385.fastforwarding 738008.5 580087 780376.5
295385.ipfw-statefull 1227533 858825.5 1231256.5
295385.pf-statefull 1198640 1123403.5 1215464
295618.fastforwarding 757278 572446 771558
295618.ipfw-statefull 1208985 879456 1213037.5
295618.pf-statefull 1168676.5 1131060 1244637
295869.fastforwarding 765043 558442 772336
295869.ipfw-statefull 865267 852607 1251904.5
295869.pf-statefull 1155964 1051015 1247292.5
296167.fastforwarding 747933.5 601218 778562
296167.ipfw-statefull 1244315 806307.5 1252929
296167.pf-statefull 1112809 1110616 1205460
296435.fastforwarding 719805 576180 754623
296435.ipfw-statefull 1192107 873329 1203234
296435.pf-statefull 1247345 1106226 1250332
296813.fastforwarding 733439.5 579945.5 766478
296813.ipfw-statefull 884217 843175.5 1211415.5
296813.pf-statefull 1148534 1047510 1236840
297086.fastforwarding 571867 568399 773344
297086.ipfw-statefull 1232088.5 850876 1253691.5
297086.pf-statefull 1213157.5 1116051 1233334
297322.fastforwarding 727553 574788.5 735854.5
297322.ipfw-statefull 1197619 913363 1204052
297322.pf-statefull 1123465 1081411 1217650.5
297529.fastforwarding 718216 568832.5 759266.5
297529.ipfw-statefull 954207 878823 1245227.5
297529.pf-statefull 1189891 1148386.5 1241364.5
297791.fastforwarding 724125 566553 754000.5
297791.ipfw-statefull 1184363 1169067 1192056
297791.pf-statefull 1115964.5 1099501 1208671
298166.fastforwarding 720887 569772 757369
298166.ipfw-statefull 918555.5 862619 1231259
298166.pf-statefull 1145911 1071545 1203412
298553.fastforwarding 601353 574595.5 773981
298553.ipfw-statefull 856291.5 851261 1220463.5
298553.pf-statefull 1117975 1041496 1202029
298902.fastforwarding 718727 573102 772335.5
298902.ipfw-statefull 1144974.5 887790 1251479
298902.pf-statefull 1137405 1049962.5 1264616.5
299866.fastforwarding 778084.5 557355 780468
299866.ipfw-statefull 1238664 896852.5 1247937.5
299866.pf-statefull 1118266 1117396 1190766
300438.fastforwarding 770945 578092 777595.5
300438.ipfw-statefull 1137962.5 844231 1253160.5
300438.pf-statefull 1117862 1048950.5 1221898
300974.fastforwarding 587043 583387 765040
300974.ipfw-statefull 996774.5 864800.5 1251083
300974.pf-statefull 1148074 1126341 1208616
301464.fastforwarding 625736 603466 635759.5
301464.ipfw-statefull 792160 759536 815221
301464.pf-statefull 1104652.5 1096742 1109461
301838.fastforwarding 632415.5 627665.5 640584
301838.ipfw-statefull 884678 828983 893616
301838.pf-statefull 1097676 1089181 1127251
302020.fastforwarding 628131 604517 628648
302020.ipfw-statefull 844992 815642 853474.5
302020.pf-statefull 1089186 1024892.5 1123672
302216.fastforwarding 610975.5 610357 639517.5
302216.ipfw-statefull 828025 776944 845463
302216.pf-statefull 1043371 1022133.5 1094598
302331.fastforwarding 631593.5 608410 639869
302331.ipfw-statefull 908749 826625.5 924739.5
302331.pf-statefull 1092688 1034573 1113087.5
302532.fastforwarding 627003.5 615859 647897
302532.ipfw-statefull 872763.5 858185 899122
302532.pf-statefull 1112330 1087699 1123233
302973.fastforwarding 631568.5 610357 651423
302973.ipfw-statefull 871570 864551 901541.5
302973.pf-statefull 1091072 1081773.5 1113067
303277.fastforwarding 625581.5 608882.5 640467.5
303277.ipfw-statefull 834255 821233 849827.5
303277.pf-statefull 1113852 1082036 1122235
303601.fastforwarding 627523 603787 635323.5
303601.ipfw-statefull 841378 825064 855630
303601.pf-statefull 1080804 1030838 1085182
303642.fastforwarding 628371.5 602542 636878.5
303642.ipfw-statefull 845905 799270.5 859622.5
303642.pf-statefull 1095693 1015360 1124353
303643.fastforwarding 1140372 1132781 1228994.5
303643.ipfw-statefull 989836 930785.5 1045015
303643.pf-statefull 978932 926853 982633
303818.fastforwarding 1165979.5 1086211 1171480
303818.ipfw-statefull 1007788 997505 1035944
303818.pf-statefull 967375 918853 985309.5
304096.fastforwarding 1158067 1076737 1165720.5
304096.ipfw-statefull 1030980.5 970069 1062047.5
304096.pf-statefull 978913.5 925993 981984
304572.fastforwarding 1162254.5 1157356 1169761.5
304572.ipfw-statefull 1029908 960814 1059719
304572.pf-statefull 906107 900955.5 998528
304970.fastforwarding 1150144.5 1149774 1240715
304970.ipfw-statefull 1019297 951083 1022021.5
304970.pf-statefull 969770 951367 976937
305396.fastforwarding 1160370.5 1080801 1166231
305396.ipfw-statefull 1029386 995194 1030670
305396.pf-statefull 950892 897376 956131.5
305711.fastforwarding 1162099 1080857 1168535.5
305711.ipfw-statefull 1019203 984595 1048999
305711.pf-statefull 937335.5 889788 961172.5
305953.fastforwarding 1149550 1064799 1153566.5
305953.ipfw-statefull 1031400 1006345 1073151.5
305953.pf-statefull 957194 915335.5 990245
306320.fastforwarding 1151087 1144626.5 1252007.5
306320.ipfw-statefull 1014411 925724 1046764
306320.pf-statefull 958120 904312 987795
