#index median minimum maximum
forwarding.inet4 3163723 3120639 3220977
forwarding.inet6 3122957 3080924 3142580
ipf-stateful.inet4 698379 694603 716999
ipf-stateful.inet6 649675 634997 659221.5
ipf-stateless.inet4 1498527 1482904 1517372
ipf-stateless.inet6 1273324 1271621 1280936
ipfw-stateful.inet4 2030642 2025972 2057814
ipfw-stateful.inet6 1593481 1583908 1607483
ipfw-stateless.inet4 2590661 2554219 2614176
ipfw-stateless.inet6 2507960 2466276 2527537
pf-stateful.inet4 1486622 1477262 1504170
pf-stateful.inet6 1382360 1351097 1395715
pf-stateless.inet4 1274690 1268450 1287325
pf-stateless.inet6 1206061.5 1190943 1211427
