#index median minimum maximum
forwarding.inet4 2891947 2875414 2914150.5
forwarding.inet6 2673434 2641932 2687364
ipf-stateful.inet4 755668 724956 772482
ipf-stateful.inet6 690214 685895 699412
ipf-stateless.inet4 1541493 1530215 1553145
ipf-stateless.inet6 1280861 1263765 1291507
ipfw-stateful.inet4 1854019 1823612 2034621
ipfw-stateful.inet6 1534124 1506573 1545349
ipfw-stateless.inet4 2419037.5 2412912 2452607
ipfw-stateless.inet6 2277260 2260164 2293757
pf-stateful.inet4 1432344 1416537.5 1456493
pf-stateful.inet6 1336775 1322256 1350019
pf-stateless.inet4 1328249 1311358 1337936.5
pf-stateless.inet6 1251721 1220152 1256087
