#index median minimum maximum
forwarding.inet4 3811947 3803461 3853175
forwarding.inet6 3747033 3668737 3778454
ipfw-stateful.inet4 2599059 2201795 2603212
ipfw-stateful.inet6 2410860 2387004 2430558
ipfw-stateless.inet4 3071829 3068110 3089795.5
ipfw-stateless.inet6 2983552.5 2710578 2998259
pf-stateful.inet4 1943290 1904052 1972546
pf-stateful.inet6 1845069.5 1837575 1860525
pf-stateless.inet4 1780861 1774566 1783576
pf-stateless.inet6 1731068 1715006 1738724.5
ipf-stateful.inet4 1428454 1423376 1431289
ipf-stateful.inet6 1321555 1319542 1330610
ipf-stateless.inet4 1671405 1665604.5 1678683
ipf-stateless.inet6 1597601 1581699 1602512
