#index median minimum maximum
forwarding.inet4 4449011 4398620 4477773
forwarding.inet6 4007419 3948865.5 4089278.5
ipf-stateful.inet4 673347.5 661852.5 679463.5
ipf-stateful.inet6 651812 621699 667850
ipf-stateless.inet4 1048303 1029482 1052062.5
ipf-stateless.inet6 1011005 982480 1021413
ipfw-stateful.inet4 2761103 2748872 2767496
ipfw-stateful.inet6 2099391.5 2092621 2142284
ipfw-stateless.inet4 3313788.5 3287044.5 3343977
ipfw-stateless.inet6 3130936.5 2352823 3149821.5
pf-stateful.inet4 1756500 1739181 1764481
pf-stateful.inet6 1654973 1640529 1706081
pf-stateless.inet4 1590883 1586673 1591017
pf-stateless.inet6 1480963 1477162 1492794.5
