#index median minimum maximum
forwarding.inet4 4729215.5 4701898.5 4765042
forwarding.inet6 3067944 3055894 3097357
ipf-stateful.inet4 663534.5 656169 678307
ipf-stateful.inet6 809104.5 770207 821655
ipf-stateless.inet4 1055472 1046081.5 1057568
ipf-stateless.inet6 962341.5 946291.5 977124
ipfw-stateful.inet4 2780069 2740906.5 2785187.5
ipfw-stateful.inet6 1769754 1743517 1864075.5
ipfw-stateless.inet4 3487345 3450483 3539994
ipfw-stateless.inet6 2358686 2321892 2386206
pf-stateful.inet4 1804530 1793707 1811996
pf-stateful.inet6 1220113 1216032 1225132.5
pf-stateless.inet4 1548077 1545360 1552630
pf-stateless.inet6 1048978.5 1043685 1053117
