#index median minimum maximum
forwarding.inet4 14784187 14784008 14784700
forwarding.inet6 14431976 14431716 14432031
ipfw-stateful.inet4 12052023 11790360 12287396
ipfw-stateful.inet6 11016418 10850899 11461188
ipfw-stateless.inet4 14277472 13569978 14451515
ipfw-stateless.inet6 13539651 13426011 13648039
pf-stateful.inet4 3705995 3403040 3829629
pf-stateful.inet6 3558545.5 3205843 3674998
pf-stateless.inet4 2970125 2699538 3153553
pf-stateless.inet6 2795716.5 2659588.5 3021352
ipf-stateful.inet4 515559 511924 530804.5
ipf-stateful.inet6 934987 808915 975432.5
ipf-stateless.inet4 1917214.5 1855307 1956305
ipf-stateless.inet6 1867374 1756514 1888668
