#index median minimum maximum
1 1392313 1389034 1395841.5
2 2710714.5 2674257 2715470
3 2786949 2715408 2793892.5
4 5356149.5 5348550 5365518.5
5 4341170 4280896.5 4378347
6 5408240 5373933.5 5450241
7 5563885 5547528 5609263
8 10555479 10390798 10707316
9 7121070 7066609 7216279.5
10 8103531 7886870 8113900
11 9143554 9052076 9173669
12 10143684 10050416 10166823
13 8303413 8273764 8323423.5
14 8580665 8572758 8601857
15 9020010.5 9017700.5 9067698
16 14798104 14796490 14802165
17 9474445 9440927 9520938
18 12687511 12521456 12793780
19 11703188 11579187 11787137
20 12631915 12504117 12648672
21 11494560 11400340 11518538
22 14123460 13917478 14182854
23 13803686 13734875 13857696
24 14721835 14721457 14722389
