#index median minimum maximum
1 1567228 1549107 1568486
2 3025274.5 3016570.5 3035205.5
3 2880238 2861274 2920912
4 5811661 5770667.5 5851514
5 4680247 4652230 4722110.5
6 5924337.5 5830539 5952651
7 5985075 5955381 6098421
8 11800888 11607473 12075719
9 7766275 7758088 7785725
10 8491752 8485351.5 8585722
11 9327792 9241293.5 9370500.5
12 9655304.5 9629037 11112442
13 8397718 8384349 8437237.5
14 8817512.5 8341392 8830479
15 9542500.5 9492606 9598388
16 14783946 14780092 14789137
17 9908640 9879141 9932211.5
18 13293892 13227716 13465260
19 12495648 12399332 12530735
20 13728808 13513255 13899164
21 11603135 11571584 11637890
22 14817963 14116786 14819107
23 14205748 14130798 14741376
24 14819270 14818144 14819474
