#index median minimum maximum
1 1412916.5 1407363 1417249
2 2749759.5 2746365 2753091
3 3980146 3954575 4023605
4 5377042 5324344 5378512
5 6637670 6581603 6664600
6 7649641 7608648 7670790
7 9159294 9113832 9168034
8 10152517 10097587 10232325
9 11042313 10884348 11068760
10 11916432 11888235 11992289
11 12368245 12356996 12417406
12 12953267 12860337 13000648
13 12505050 12462526 12552508
14 11844998 11815434 12030346
15 12824645 12802192 12846384
16 13834010 13823815 13869514
17 13304856 13265318 13332841
18 12100832 11909091 12119536
19 12502984 12485755 12695258
20 13154695 13134992 13171537
21 13712095 13676920 13778782
22 13957453 13733795 13990066
23 14101700 13462127 14105753
24 13590835 13581598 13597022
