#index median minimum maximum
forwarding.inet4 14839226 14839168 14839604
forwarding.inet6 14291194 14285125 14293714
ipf-stateful.inet4 1065116.5 992202 1089055
ipf-stateful.inet6 1080513 968164.5 1105937
ipf-stateless.inet4 1456920.5 1407310 1538430
ipf-stateless.inet6 1498617 1305041 1608590.5
ipfw-stateful.inet4 6490772 6411823 6553009
ipfw-stateful.inet6 4448173.5 4409322 4457596.5
ipfw-stateless.inet4 14806088 14803534 14806689
ipfw-stateless.inet6 13971345 13967057 13981659
pf-stateful.inet4 1685942 1320497 1763904
pf-stateful.inet6 1620460 1318964 1726079
pf-stateless.inet4 1462147 1349173 1625942
pf-stateless.inet6 1550793.5 1312004 1729701.5
