#index median minimum maximum
forwarding.inet4 12661512 12631251 12692229
forwarding.inet6 11850924 11843679 11872023
ipfw-stateful.inet4 13641545 13415098 13711204
ipfw-stateful.inet6 13303330 13286680 13322906
ipfw-stateless.inet4 12793478 12757293 13048939
ipfw-stateless.inet6 12063355 12049520 12083307
pf-stateful.inet4 809035 755736 954140.5
pf-stateful.inet6 812879 797572 871631
pf-stateless.inet4 770052.5 668439 847335.5
pf-stateless.inet6 728138 697715 731599.5
ipf-stateful.inet4 247215 227847 249177.5
ipf-stateful.inet6 443582 388327 481256
ipf-stateless.inet4 557161 516679.5 564354
ipf-stateless.inet6 603993.5 528505 628734
