#key median minimum maximum
fastforwarding 276669 1667685 1539390 1930190
277034 1673601 1584905.5 1729096
277350 1646722 1536825 1913044
277717 1658780 1494455 1925022
278038 1634596 1614757 1713578
278477 1562041 1553751 1690851
278826 1635834 1534023.5 1725788
279189 1436507 1422470.5 1636555
279554 1561916 1496839 1647019.5
279828 1612043 1538263 1649126
280156 1654517 1499714 1684690
280357 1647340.5 1549845 1687342.5
280829 1534062.5 1499768 1687018
281121 1610938.5 1541274 1680680
281470 1662136 1595230.5 1687929
281752 1573543 1551278 1690270.5
282042 1677146.5 1581479.5 1689667
282369 1634499.5 1564088 1727167.5
282739 1555413 1509049.5 1641919
283035 1588414.5 1547405 1663201
283593 1667901 1563667 1941595.5
283841 1578519 1500987 1938752
284168 1657819.5 1540728 1692401
284739 1077949.5 1071810 1088515.5
284916 1623918 1533870 1667010.5
285173 1578212 1341924 1628442
285433 1678329 1668586 1936051.5
285702 1667608 1632206 1893632.5
285903 1621928 1518614.5 1892135.5
286213 1572198.5 1481534.5 1661349.5
286556 1607875 1528887.5 1638427.5
286833 1511131 1441509 1663429.5
287083 1622574.5 1459231 1631319
287314 1598926.5 1477032.5 1829714
287525 1607980 1479047.5 1900893.5
287767 1610585 1495772.5 1644587
288046 1614751.5 1489665.5 1635796
288311 1592104.5 1454264 1637436
288671 1629942 1480110 1685579
289159 1611364 1597259.5 1680263
289550 1511745 1479837 1662755.5
289951 1609460.5 1469490 1650346.5
290245 1539898 1476482 1851852
290914 1592263.5 1508972.5 1624496.5
291164 1629783.5 1507364.5 1632714
291461 1624877.5 1486064 1887552.5
291909 1677357.5 1536013 1749070
292177 1724638.5 1495348 1898739
292519 1643868 1469037 1845734
292788 1594626 1451938.5 1699190.5
293120 1632184 1541221.5 1805521
ipfw-statefull 276669 1797274.5 1681711 2161205
277034 1729015.5 1713357.5 1841587
277350 1783238.5 1662814 1856554.5
277717 1852508 1682497.5 1872874
278038 1817543 1724835 1897604.5
278477 1698426.5 1668367.5 1895606.5
278826 1866212.5 1692846.5 1917401.5
279189 1770607.5 1757246.5 1772106
279554 1812497 1798178 1898813.5
279828 1740366 1713562.5 1890236
280156 1821012 1700128 1897313
280357 1848612 1685886 1862801
280829 1726703 1652723.5 2175058
281121 1828799.5 1783100.5 1932880.5
281470 1840438 1713452 1905117
281752 1843306 1728671.5 1911956.5
282042 1719566 1688047 1842302
282369 1844061 1779131.5 2136131.5
282739 1770107.5 1744589.5 1888643
283035 1880332.5 1712979.5 1927349.5
283593 1843162 1708936 2198133.5
283841 1723205 1678993.5 2129111
284168 1844021 1760132 2086989
284739 1087602.5 1081122 1093139.5
284916 1772584 1645364 1877925
285173 1751851 1732516 1768826
285433 1869079 1781956 1935545
285702 1745434 1675585.5 1833994.5
285903 1837561 1658096 1875258
286213 1740042 1614769 1839617
286556 1794666.5 1674112 1868338.5
286833 1722031 1628911.5 1823686
287083 1643281.5 1613458 1768482
287314 1773737 1648856.5 1784544
287525 1756444 1638356.5 1828397.5
287767 1746798 1599075 1783673.5
288046 1670421 1619468.5 1767378.5
288311 1793045.5 1621751 2058875
288671 1737244 1659119 1799788.5
289159 1791893 1735105.5 2104411
289550 1787400 1746890 2117829.5
289951 1771292 1600596.5 2078220.5
290245 1731896 1621275.5 2084470.5
290914 1669088 1637193 1889978.5
291164 1794905 1665864.5 2036677
291461 1810118 1632901 1860285
291909 1837938.5 1594502 2057129
292177 1857106 1660838 1888286.5
292519 1832178 1655845.5 2056342.5
292788 1626614 1594945 1814191.5
293120 1669698.5 1616016.5 1973814
pf-statefull 276669 2242590 2134147 2285586.5
277034 2228320 2179598 2263957
277350 2158595 2129415 2244183
277717 2144234 2058398 2397216
278038 2114270.5 2037852.5 2243121
278477 2179665 2089023 2267459.5
278826 2219326 2103796.5 2259384
279189 2150474 2128414 2167627.5
279554 2155370.5 2073920.5 2247144.5
279828 2150295.5 2104872.5 2262366
280156 2214102 2120865.5 2247906
280357 2245918 2147019 2267517
280829 2234117 2079376 2273376.5
281121 2239611 2103929 2291567.5
281470 2206331.5 2130050 2250644.5
281752 2269395 2239626 2286459.5
282042 2191112 2083029.5 2236223.5
282369 2250494 2138592 2324023.5
282739 2211228 2152147.5 2286160.5
283035 2210239 2144815 2253431.5
283593 2221257.5 2125228 2237076
283841 2084070.5 2056428 2247302
284168 2145180.5 2078193.5 2267255
284739 927682 917791.5 935528
284916 2040528.5 2026912 2097360
285173 2048249 2029673.5 2052502
285433 2107167.5 2099635 2153345
285702 2204205.5 2060746 2231310
285903 2207450 2069721 2246655
286213 2156481 2019255.5 2371980.5
286556 2201836 2085264.5 2213102.5
286833 1976018 1928222 2141841.5
287083 2131046 1947575 2142098.5
287314 2002479 1927776 2099056.5
287525 2045748.5 1949488 2399964
287767 2122639.5 2056205 2153745.5
288046 2015466 1930176 2123003
288311 1977031.5 1929221.5 2127336
288671 2142989.5 1916588 2166461.5
289159 2141487.5 2001872.5 2222180
289550 2130129 1975733.5 2194487.5
289951 2103852.5 1981544 2132102
290245 2173479 2029754 2208716.5
290914 2017506 1961491 2176594
291164 2137113 1945983 2160712.5
291461 2134251 1948049 2208125.5
291909 1998577.5 1950013 2378773
292177 2421750.5 2025358.5 2441973.5
292519 2270463 2221651.5 2444873.5
292788 2215311 2180103 2240083.5
293120 1931515 1916966.5 2422661.5
