#index median minimum maximum
ipfw-stateful.100K 6209316 6061680 6259604
ipfw-stateful.10K 6649587 6390514 6678440
ipfw-stateful.1K 6645966 6573840 6711678
ipfw-stateful.1M 5428129 5365952 5499137
ipfw-stateful.5K 6669195 6571857 6692893
ipfw-stateful.5M 5482562 4955101 5486243
ipfw-stateful.64 3888460 3676590 3949347
pf-stateful.100K 3170834 3062777 3178415
pf-stateful.10K 3202833 3153040 3290807
pf-stateful.1K 3222365 3035133 3263129
pf-stateful.1M 3166859 3117472 3174358
pf-stateful.5K 3242493 3203008 3292266
pf-stateful.5M 3132657 3083582.5 3151830
pf-stateful.64 2408157 2387225 2438098
