#index median minimum maximum
ipf-stateless-1 3119070 3021742.5 3229341
ipf-stateless-10 3196481 3104449 3239529
ipf-stateless-100 2804994 2770976 2817956
ipf-stateless-1000 390808 389252 392000
ipfw-stateless-1 8487595 8481413 8528778
ipfw-stateless-10 7087040 7006062 7110894
ipfw-stateless-100 3193375 3183469 3202227
ipfw-stateless-1000 462012 440895 473026
pf-stateless-1 3217883 3159247.5 3273203
pf-stateless-10 3148917 3002172 3155697
pf-stateless-100 3217130 3108939 3231763
pf-stateless-1000 3149010 3118508 3206173
