#index median minimum maximum
311014 5595162 5508354 5692757
311703 5562864 5553007 5609344
312237 5516486 5479567 5547492
312652 5499326 5487662 5613104
312969 5562733 5471089 5605904.5
313287 5740946 5711257 5800620
313690 5789283 5780482 5850533
314286 5772801 5734935 5828400
314687 5846886 5788336 5900924
315091 5708775 5701426 5785463
315216 5777560 5713945 5792982
315217 5780632 5772628 5848904
315516 5766453 5720913 5812012
315968 5816938 5733518 5881979
316377 5807779 5775776 5860263
316647 5793967 5775689 5879659
316989 5790061 5733479 5829180
317304 5854696 5737019 5877796
317600 5768931 5750180.5 5908704
317901 5870374 5794529 5886595
318259 5795969 5747522 5888571
318589 5742962 5690865 5924240
319002 5815988 5798845 5894967
319557 5824527 5803949 5883981
319810 5765224 5737927 5881067
319836 5776400.5 5743314 5841828
320087 5815921 5762734.5 5888491
320338 5801242 5737798 5881202
320579 5800438 5733873 5892471
320850 5861399 5783959 5900092
321048 5801396 5777677.5 5878079
321400 5878233 5777414 5888191
321730 5798641 5730689 5859118
322124 5880757 5870979 5908817
322475 5819977 5792845 5885165
322723 5830996 5746435 5873214
322954 5855629 5810362 5901588
323147 5754770 5708823 5852662
323687 5766468 5742376.5 5833348
323980 5806647 5637631 5862510
324416 5751926 5745085 5827962
324638 5738239 5667170 5829304
324870 5793426 5760755 5830989
325110 5795303.5 5774275 5892659
325458 5894505 5754491 5898734
325746 5792502 5697643 5835970.5
326001 5794894 5773661 5892427
326237 5868913 5736160 5890746
326503 5903166 5843542 5925155
326752 5822272 5791932 5970563
326919 5805386 5782770 5900417
326950 5821634 5769425 5949496
327000 5859754 5700202 5907604
327012 5894257 5814957 5938130
327017 5895995 5815410 5897408
327051 5870815 5845176 5894834
327052 5808692 5776501 5934598
327100 5908378 5774664 5949879
327150 5937524 5789144 5974126
327168 5856556 5763481 5887771
