#index median minimum maximum
11.0.forwarding.inet4 2585136 2232136 2650100
11.0.forwarding.inet6 2503564 2473742 2681927
11.0.ipf-stateful.inet4 1962806 1708725 2037216
11.0.ipf-stateful.inet6 1775618 1750253 1796531
11.0.ipf-stateless.inet4 2413076 2099805 2447446
11.0.ipf-stateless.inet6 2207294 2030229 2388973
11.0.ipfw-stateful.inet4 2425447 2102864 2445466
11.0.ipfw-stateful.inet6 17621 17337 17885
11.0.ipfw-stateless.inet4 2590384 2564345 2623914
11.0.ipfw-stateless.inet6 2383351 2073976 2659451
11.0.pf-stateful.inet4 2372275 2096640 2551532
11.0.pf-stateful.inet6 2198939 2053048 2338787
11.0.pf-stateless.inet4 2417768 2055717 2438462
11.0.pf-stateless.inet6 2210795 1917623 2374262
11.1BETA1.forwarding.inet4 5820213 5718487 5849394
11.1BETA1.forwarding.inet6 5587380 4055667 5655914
11.1BETA1.ipf-stateful.inet4 2155664 1956168 2215501
11.1BETA1.ipf-stateful.inet6 2053809 1819865 2128012
11.1BETA1.ipf-stateless.inet4 3062887 3042128 3081135
11.1BETA1.ipf-stateless.inet6 2997032 2983143 3007648
11.1BETA1.ipfw-stateful.inet4 4852900.5 3732372 4860151
11.1BETA1.ipfw-stateful.inet6 3474621 2849616 3490389
11.1BETA1.ipfw-stateless.inet4 5556323 4143327 5609756
11.1BETA1.ipfw-stateless.inet6 5204293 5197197 5225072
11.1BETA1.pf-stateful.inet4 3065218 2540032 3131413
11.1BETA1.pf-stateful.inet6 2540612 2475141 3027617
11.1BETA1.pf-stateless.inet4 3121769 2572292 3144532
11.1BETA1.pf-stateless.inet6 2971439 2950431.5 2992758
