#index median minimum maximum
forwarding.inet4 10267416 10225254 10280104
forwarding.inet6 9398756 9338305 9410910
ipf-stateful.inet4 2100963 2090550.5 2137376
ipf-stateful.inet6 2073044 2047363 2088849
ipf-stateless.inet4 3023946 3002905 3043482
ipf-stateless.inet6 3023549 3019946 3037016
ipfw-stateful.inet4 6110630 6072396.5 6136041
ipfw-stateful.inet6 3980637 3974859 3982388
ipfw-stateless.inet4 7868839 7860139 7887996
ipfw-stateless.inet6 6996843 6975223 7011858.5
pf-stateful.inet4 3220963 3048243.5 3297888
pf-stateful.inet6 3188252 3139492 3237834
pf-stateless.inet4 3212568.5 3089543 3261621
pf-stateless.inet6 3153034 3060999 3186988
