#index median minimum maximum
forwarding.inet4 10945136 10917371 10970686
forwarding.inet6 9183054.5 9168501 9190298
ipf-stateful.inet4 2171616 2090425.5 2218892
ipf-stateful.inet6 2099864 2013735 2111786.5
ipf-stateless.inet4 3035037 2936589.5 3235905
ipf-stateless.inet6 3121402 3113330 3131023.5
ipfw-stateful.inet4 6531288.5 6524709 6538442
ipfw-stateful.inet6 3970081 3944521 3971873
ipfw-stateless.inet4 8356879 8341150 8383429
ipfw-stateless.inet6 7183013 7168420 7191435.5
pf-stateful.inet4 3146668 2978661.5 3260967
pf-stateful.inet6 3126025 3077244 3226053
pf-stateless.inet4 3170246 3088726.5 3254603
pf-stateless.inet6 3211222 3158643 3218066
