#index median minimum maximum
forwarding.inet4 10649897 10556948 10802302
forwarding.inet6 9807158.5 9778450 9884377
ipf-stateful.inet4 795162.5 754288 810856
ipf-stateful.inet6 861540 842394.5 865915.5
ipf-stateless.inet4 3148275.5 3132335 3155964
ipf-stateless.inet6 3069389.5 3048875 3080313.5
ipfw-stateful.inet4 6889373 6802168 6943134
ipfw-stateful.inet6 5553531 5505819 5591992.5
ipfw-stateless.inet4 7947033.5 7856084.5 8038133
ipfw-stateless.inet6 7004193 6955697 7303191
pf-stateful.inet4 5118221.5 5068069.5 5147776.5
pf-stateful.inet6 4716253.5 4641416 4737489
pf-stateless.inet4 4851391 4824628.5 4886498
pf-stateless.inet6 4609300 4548390 4664550.5
