#index median minimum maximum
forwarding.inet4 8681065.5 8605958.5 8711276
forwarding.inet6 8527301.5 8309580 8658385.5
ipfw-stateful.inet4 5428043 5332039 5592800.5
ipfw-stateful.inet6 5102924 5097132 5259028
ipfw-stateless.inet4 6532761.5 6435811 6816020
ipfw-stateless.inet6 6754927 6639264.5 6798670
pf-stateful.inet4 4228948 4170710.5 4303850
pf-stateful.inet6 3924107 3796539 3954843
pf-stateless.inet4 3635450 3574759 3872423.5
pf-stateless.inet6 3444874 3425510 3507539.5
ipf-stateful.inet4 501668 488705 505167
ipf-stateful.inet6 787605 773241 788622
ipf-stateless.inet4 1501648.5 1496498.5 1509814
ipf-stateless.inet6 1493091.5 1489796 1499684
