# (revision)	median	minimum		maximum
276669 1667685 1539390 1930190
277034 1673601 1584905.5 1729096
277350 1646722 1536825 1913044
277717 1658780 1494455 1925022
278038 1634596 1614757 1713578
278477 1562041 1553751 1690851
278826 1635834 1534023.5 1725788
279189 1436507 1422470.5 1636555
279554 1561916 1496839 1647019.5
279828 1612043 1538263 1649126
280156 1654517 1499714 1684690
280357 1647340.5 1549845 1687342.5
280829 1534062.5 1499768 1687018
281121 1610938.5 1541274 1680680
281470 1662136 1595230.5 1687929
281752 1573543 1551278 1690270.5
282042 1677146.5 1581479.5 1689667
282369 1634499.5 1564088 1727167.5
282739 1555413 1509049.5 1641919
283035 1588414.5 1547405 1663201
283593 1667901 1563667 1941595.5
283841 1578519 1500987 1938752
284168 1657819.5 1540728 1692401
284739 1077949.5 1071810 1088515.5
284916 1623918 1533870 1667010.5
285173 1578212 1341924 1628442
285433 1678329 1668586 1936051.5
285702 1667608 1632206 1893632.5
285903 1621928 1518614.5 1892135.5
286213 1572198.5 1481534.5 1661349.5
286556 1607875 1528887.5 1638427.5
286833 1511131 1441509 1663429.5
287083 1622574.5 1459231 1631319
287314 1598926.5 1477032.5 1829714
287525 1607980 1479047.5 1900893.5
287767 1610585 1495772.5 1644587
288046 1614751.5 1489665.5 1635796
288311 1592104.5 1454264 1637436
288671 1629942 1480110 1685579
289159 1611364 1597259.5 1680263
289550 1511745 1479837 1662755.5
289951 1609460.5 1469490 1650346.5
290245 1539898 1476482 1851852
290914 1592263.5 1508972.5 1624496.5
291164 1629783.5 1507364.5 1632714
291461 1624877.5 1486064 1887552.5
291909 1677357.5 1536013 1749070
292177 1724638.5 1495348 1898739
292519 1643868 1469037 1845734
292788 1594626 1451938.5 1699190.5
293120 1632184 1541221.5 1805521
