#index median minimum maximum
forwarding.inet4 5859568 5827506.5 5869452
forwarding.inet6 5746919 5733744 5764306
ipf-stateful.inet4 2022747 2011812 2033258
ipf-stateful.inet6 2031977 1998474 2065863
ipf-stateless.inet4 3046634 3038861 3050172
ipf-stateless.inet6 2932568 2928590 2937603
ipfw-stateful.inet4 4760867 4748475 4762489
ipfw-stateful.inet6 3414221 3401839 3460764
ipfw-stateless.inet4 5610564 5596642 5663956
ipfw-stateless.inet6 5323061 5309107 5380231
pf-stateful.inet4 3126706.5 3091228 3163476
pf-stateful.inet6 3099760 3029347 3113242
pf-stateless.inet4 3108540 3031421 3164573
pf-stateless.inet6 3093178 3040112 3115036
