#index median minimum maximum
forwarding.inet4 14555464 14508440 14613414
forwarding.inet6 14271110 14267836 14277336
ipf-stateful.inet4 1400582 1373742 1438621
ipf-stateful.inet6 1375454 1344346 1428277
ipf-stateless.inet4 1972843 1918461 1983530.5
ipf-stateless.inet6 1943495.5 1901334 1952939
ipfw-stateful.inet4 11377671 11249510 11497368
ipfw-stateful.inet6 9012742.5 8975520 9061124
ipfw-stateless.inet4 13803580 13771326 13815510
ipfw-stateless.inet6 12561414 12482535 12580649
pf-stateful.inet4 9788029 9755914 9969748
pf-stateful.inet6 8610704 8559686.5 8709750
pf-stateless.inet4 8421140 8234921 8438256
pf-stateless.inet6 7582758 7541014 7618296
